,freq_pvalue,pvalue,effect_size,gene_ids,feature_types,n_counts,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,clonally_expressed,normalized_effect_size
NET1,236,0.24739458423185018,-0.0032422459887247734,ENSG00000173848,Gene Expression,323.0,False,41,0.061919224,0.06007786,94.95073891625616,50.278408,3.9372697,271,False,-0.05236251045404683
ASCC2,240,0.24749766350898872,-0.003355969515702273,ENSG00000100325,Gene Expression,525.0,False,55,0.07344805,0.07087594,93.22660098522168,59.639816,4.104952,493,False,-0.04569174608261685
ZNF398,221,0.24754086529055874,-0.0007923558528702638,ENSG00000197024,Gene Expression,53.0,False,9,0.010349839,0.0102966465,98.89162561576354,8.404069,2.2411425,51,False,-0.07655731198288794
LRRC34,252,0.24759734345395645,-0.0003743882075202521,ENSG00000171757,Gene Expression,22.0,False,2,0.0025470592,0.002543821,99.75369458128078,2.068212,1.121095,22,False,-0.14698841955523012
CCDC30,219,0.24768945688076494,-0.00017389658697905932,ENSG00000186409,Gene Expression,23.0,False,2,0.0012733779,0.0012725679,99.75369458128078,1.0339829,0.70999587,22,False,-0.13656321893327364
ADPRH,211,0.24773686903269132,-0.0010457156036268768,ENSG00000144843,Gene Expression,72.0,False,9,0.013305875,0.013218129,98.89162561576354,10.80437,2.4684699,69,False,-0.07859052032792604
KDM3A,220,0.24778993440888236,-0.0016927402074158118,ENSG00000115548,Gene Expression,183.0,False,24,0.029790701,0.029355578,97.04433497536947,24.19005,3.226449,173,False,-0.05682109285829619
NR4A2,249,0.24781442879565418,-0.004153709262449096,ENSG00000153234,Gene Expression,597.0,False,62,0.091847286,0.08787102,92.36453201970444,74.579994,4.3251915,492,False,-0.045224082933251156
HIST1H2AM,208,0.2480131127414414,-0.000330030565800399,ENSG00000278677,Gene Expression,11.0,False,2,0.0023644657,0.0023616748,99.75369458128078,1.9199462,1.0715652,11,False,-0.13957933966057828
IKBIP,240,0.24814688154180353,-0.009688868697671216,ENSG00000166130,Gene Expression,2171.0,False,224,0.31302434,0.27233315,72.41379310344827,254.17577,5.5419526,1726,False,-0.030952444892644516
ARNT2,193,0.24815162366385174,-0.0003386078277235996,ENSG00000172379,Gene Expression,19.0,False,2,0.0022478802,0.0022453575,99.75369458128078,1.8252786,1.038607,19,False,-0.15063428458998104
RNF144A,218,0.2481948406990257,-0.0006550864661271256,ENSG00000151692,Gene Expression,39.0,False,6,0.0076136086,0.007584771,99.26108374384236,6.18225,1.9716127,39,False,-0.08604152109370024
DESI1,241,0.2482559015111775,-0.009935120218218851,ENSG00000100418,Gene Expression,1769.0,False,211,0.2967282,0.2598443,74.01477832512316,240.9433,5.4887033,1423,False,-0.03348222523895833
TINF2,264,0.24827420784528448,-0.00678587162796962,ENSG00000092330,Gene Expression,1245.0,False,140,0.17733717,0.16325524,82.75862068965517,143.99779,4.9767184,1100,False,-0.038265365582799124
INPP5D,220,0.24832219695058894,-0.001975430882044084,ENSG00000168918,Gene Expression,188.0,False,26,0.03514245,0.03453905,96.79802955665025,28.535671,3.3855987,184,False,-0.05621209666188786
PRTFDC1,231,0.24855108260610165,-0.0006420136074650187,ENSG00000099256,Gene Expression,13.0,False,3,0.0051490488,0.005135838,99.63054187192118,4.1810274,1.6450033,13,False,-0.1246858668954422
SCAF11,243,0.24856295850391408,-0.0055736252522357865,ENSG00000139218,Gene Expression,1168.0,False,111,0.14506924,0.13546512,86.33004926108374,117.79622,4.7774096,1024,False,-0.03842044801291376
ZNF506,221,0.24857331884662304,-0.0016444488735235518,ENSG00000081665,Gene Expression,176.0,False,22,0.027542949,0.027170466,97.29064039408867,22.364874,3.1512337,173,False,-0.059704895436991846
NUMBL,245,0.2488629644557384,-0.0002261850938157432,ENSG00000105245,Gene Expression,14.0,False,2,0.0017223047,0.0017208232,99.75369458128078,1.3985114,0.8748483,14,False,-0.13132698850704286
NIPSNAP3B,210,0.2490620671893961,-0.0007268385581956222,ENSG00000165028,Gene Expression,31.0,False,4,0.006132018,0.0061132936,99.50738916256158,4.9791985,1.7882864,30,False,-0.11853171001847718
HAPLN3,205,0.2492710327396282,-0.00038070613072942183,ENSG00000140511,Gene Expression,10.0,False,2,0.0027432502,0.0027394944,99.75369458128078,2.2275193,1.1717138,10,False,-0.13877922155847075
RORA,242,0.2493129037018561,-0.0025328700153999517,ENSG00000069667,Gene Expression,257.0,False,37,0.051641244,0.050352033,95.44334975369459,41.93269,3.7596335,252,False,-0.04904742406586399
AC007614.1,204,0.24938756438579462,-0.0006535613608953991,ENSG00000279249,Gene Expression,57.0,False,7,0.0073122345,0.00728563,99.13793103448276,5.9375343,1.9369464,57,False,-0.08937915786070501
EBLN2,234,0.24944749844684605,-0.00028440274054417156,ENSG00000255423,Gene Expression,11.0,False,2,0.0020431627,0.0020410782,99.75369458128078,1.6590481,0.9779682,11,False,-0.139197304157786
CTSZ,256,0.24955985877843195,-0.006267007585281953,ENSG00000101160,Gene Expression,1113.0,False,117,0.15828508,0.14694053,85.5911330049261,128.52748,4.863893,963,False,-0.03959316652197041
UNC13B,237,0.24960830604142248,-0.0011834781186905972,ENSG00000198722,Gene Expression,124.0,False,14,0.017336627,0.017188063,98.27586206896551,14.077341,2.713193,124,False,-0.06826461033688366
CCDC85B,246,0.249768181836048,-0.012518493142918141,ENSG00000175602,Gene Expression,3102.0,False,304,0.459968,0.3784145,62.5615763546798,373.49402,5.9255757,2230,False,-0.027216008777168604
CDC42BPG,218,0.2497963506269909,-0.00026780694705074316,ENSG00000171219,Gene Expression,16.0,False,2,0.0019819392,0.0019799778,99.75369458128078,1.6093346,0.95909524,16,False,-0.13512369527719273
NPIPB15,233,0.24984925490238885,-0.00032613543356098656,ENSG00000196436,Gene Expression,19.0,False,2,0.002473344,0.0024702905,99.75369458128078,2.0083554,1.1013936,19,False,-0.13186011368718337
AL365295.1,236,0.24988235744813742,-0.000278537996649255,ENSG00000237356,Gene Expression,10.0,False,2,0.002124875,0.0021226208,99.75369458128078,1.7253985,1.0026147,10,False,-0.1310844098833716
LARP4,253,0.24998338094876443,-0.004264489348069389,ENSG00000161813,Gene Expression,594.0,False,72,0.096596375,0.09221118,91.13300492610837,78.43626,4.3749547,559,False,-0.044147509089361006
HSBP1L1,230,0.25000018048257533,-0.002324235256373333,ENSG00000226742,Gene Expression,355.0,False,34,0.04378472,0.04285326,95.8128078817734,35.553192,3.5987685,336,False,-0.05308325168122852
ETNK1,242,0.250012450762567,-0.004842246627354246,ENSG00000139163,Gene Expression,741.0,False,80,0.11145447,0.10566949,90.14778325123153,90.50103,4.5163503,673,False,-0.043445960873697745
CACNB3,238,0.2500644461640938,-0.0009682791411391688,ENSG00000167535,Gene Expression,66.0,False,9,0.0119917365,0.011920406,98.89162561576354,9.73729,2.3737228,63,False,-0.08074553196081839
CEP192,234,0.2500871764081237,-0.0017374356173646896,ENSG00000101639,Gene Expression,130.0,False,21,0.029028995,0.028615635,97.41379310344827,23.571545,3.201589,125,False,-0.059851731677405894
MIR22HG,257,0.25011608445900735,-0.004408212879934897,ENSG00000186594,Gene Expression,598.0,False,73,0.10200575,0.09713193,91.00985221674877,82.82867,4.428775,539,False,-0.04321533719903168
SPHK2,227,0.2501263078381537,-0.0011925817295739306,ENSG00000063176,Gene Expression,138.0,False,17,0.019580884,0.019391645,97.9064039408867,15.899678,2.8272946,136,False,-0.060905408322841144
HIST1H4B,236,0.2503661625924396,-0.0006724192731350047,ENSG00000278705,Gene Expression,56.0,False,6,0.0074696965,0.0074419365,99.26108374384236,6.0653934,1.9552087,52,False,-0.09001962487728941
RAB11FIP2,231,0.25044927993634003,-0.0022971011103809363,ENSG00000107560,Gene Expression,310.0,False,34,0.04549035,0.04448601,95.8128078817734,36.938164,3.6359575,293,False,-0.05049644773854453
OTUD5,238,0.25056197517809337,-0.003270392543638395,ENSG00000068308,Gene Expression,420.0,False,55,0.071443915,0.069007196,93.22660098522168,58.01246,4.077749,404,False,-0.04577566230564126
YTHDF3-AS1,216,0.2505877767613829,-0.0011663379577589866,ENSG00000270673,Gene Expression,138.0,False,17,0.018440483,0.01827252,97.9064039408867,14.973672,2.770942,135,False,-0.06324877439668238
PPP3R1,208,0.25059381917063744,-0.0014420703926303277,ENSG00000221823,Gene Expression,132.0,False,17,0.02248632,0.02223723,97.9064039408867,18.258892,2.957973,130,False,-0.06413100977271283
TBC1D22B,217,0.2506198162056415,-0.0006159580541369447,ENSG00000065491,Gene Expression,37.0,False,5,0.0066845524,0.0066623096,99.38423645320196,5.4278564,1.8606411,37,False,-0.09214649181102176
DOCK10,245,0.2506446607110336,-0.0027596737749885497,ENSG00000135905,Gene Expression,289.0,False,44,0.05729706,0.055715706,94.58128078817734,46.52521,3.8612604,276,False,-0.04816431858603689
EDRF1,223,0.25082392665314235,-0.0019738394807236673,ENSG00000107938,Gene Expression,215.0,False,29,0.035845403,0.035217907,96.42857142857143,29.106466,3.4047399,211,False,-0.05506534551160936
ENTPD5,212,0.25098735902625,-0.0009056946646045106,ENSG00000187097,Gene Expression,70.0,False,7,0.010510983,0.010456126,99.13793103448276,8.534918,2.2549605,69,False,-0.0861665050067433
CXorf56,223,0.2510910881418858,-0.0007817547490903583,ENSG00000018610,Gene Expression,89.0,False,10,0.010597098,0.010541342,98.76847290640394,8.604843,2.2622676,89,False,-0.0737706466571649
UNKL,229,0.25144098938501663,-0.0018482974981522335,ENSG00000059145,Gene Expression,261.0,False,24,0.0319393,0.03143985,97.04433497536947,25.934713,3.293416,250,False,-0.057869064233055004
RLIM,232,0.2515054871632476,-0.0018307775105545904,ENSG00000131263,Gene Expression,154.0,False,24,0.03026703,0.02981802,97.04433497536947,24.576828,3.2416868,151,False,-0.06048751762274187
AC017002.1,206,0.251588768781175,-0.00023974808507758487,ENSG00000224959,Gene Expression,14.0,False,2,0.0017774162,0.0017758384,99.75369458128078,1.443262,0.89333403,14,False,-0.13488573105120855
B3GNT2,238,0.251778517736908,-0.0016688364395182065,ENSG00000170340,Gene Expression,182.0,False,23,0.028124582,0.027736349,97.16748768472905,22.83716,3.1712456,174,False,-0.059337288575074976
IWS1,266,0.2517947251597016,-0.0028627462922285463,ENSG00000163166,Gene Expression,418.0,False,49,0.060544986,0.058782913,93.96551724137932,49.16253,3.9152684,391,False,-0.04728296211171733
PAPSS1,244,0.25184053277422097,-0.008975909533122661,ENSG00000138801,Gene Expression,1779.0,False,206,0.28032458,0.24711362,74.63054187192117,227.62355,5.432077,1446,False,-0.032019702260962964
HLA-G,231,0.25186623127302743,-0.0012139231216725978,ENSG00000204632,Gene Expression,102.0,False,16,0.018480688,0.018311996,98.0295566502463,15.006319,2.7729836,100,False,-0.06568603397046473
ZNF785,219,0.2519008222186969,-0.0011947133144649368,ENSG00000197162,Gene Expression,66.0,False,13,0.01717,0.017024262,98.39901477832512,13.94204,2.7041788,66,False,-0.06958143606954482
LINC02709,214,0.2520722947170538,-0.000694604892833562,ENSG00000245522,Gene Expression,77.0,False,5,0.007219644,0.007193707,99.38423645320196,5.862351,1.9260501,77,False,-0.09621041041559397
LHFPL1,232,0.252228014033251,-0.0002586778255240854,ENSG00000182508,Gene Expression,15.0,False,2,0.0018892608,0.0018874784,99.75369458128078,1.5340798,0.92983055,15,False,-0.1369201227961356
PPP1R14B,212,0.25226318443078133,-0.0016134849667837,ENSG00000173457,Gene Expression,223.0,False,24,0.029769707,0.029335191,97.04433497536947,24.173002,3.2257721,211,False,-0.05419888550629187
MROH8,233,0.2523057346258427,-0.0013703110966772417,ENSG00000101353,Gene Expression,98.0,False,20,0.023111893,0.022848858,97.53694581280789,18.766857,2.9840066,97,False,-0.05929030152287025
ADSS,251,0.2525290729662546,-0.004515484221060184,ENSG00000035687,Gene Expression,608.0,False,76,0.10129508,0.09648683,90.64039408866995,82.2516,4.4218674,570,False,-0.044577529190193414
BIN2,251,0.25271197870253803,-0.005623224447187575,ENSG00000110934,Gene Expression,899.0,False,112,0.14629623,0.13653608,86.20689655172413,118.79254,4.7857614,804,False,-0.03843724704477676
TP73,205,0.25297836564912995,-0.0005754900392597358,ENSG00000078900,Gene Expression,50.0,False,7,0.0072357906,0.007209738,99.13793103448276,5.875462,1.9279588,49,False,-0.07953381611569074
PTCD1,226,0.25313730550475855,-0.0009683227324572136,ENSG00000106246,Gene Expression,84.0,False,10,0.014292268,0.014191097,98.76847290640394,11.605322,2.5341191,84,False,-0.06775150919838249
ASMT,227,0.25317491133900194,-0.00048117244052809337,ENSG00000196433,Gene Expression,25.0,False,4,0.004529322,0.0045190956,99.50738916256158,3.6778095,1.54283,24,False,-0.1062349811165446
LRCH1,240,0.25327068689502635,-0.0012427750625493214,ENSG00000136141,Gene Expression,144.0,False,17,0.019676322,0.019485246,97.9064039408867,15.977174,2.8318698,141,False,-0.06316094314431346
RPAP1,227,0.25351414241313386,-0.0009764788203486079,ENSG00000103932,Gene Expression,105.0,False,10,0.013113863,0.013028621,98.76847290640394,10.648457,2.4551737,100,False,-0.07446157037361045
METTL5,244,0.2537009087573678,-0.00931331410967895,ENSG00000138382,Gene Expression,1777.0,False,211,0.2902864,0.25486422,74.01477832512316,235.71255,5.4668465,1495,False,-0.032083192210158096
MIR646HG,233,0.25371267873490155,-0.00017455859326979527,ENSG00000228340,Gene Expression,14.0,False,2,0.0013301874,0.0013293035,99.75369458128078,1.0801122,0.7324219,14,False,-0.13122856946333647
WASHC4,228,0.25376099300003974,-0.0016040405695543353,ENSG00000136051,Gene Expression,220.0,False,23,0.027697304,0.027320672,97.16748768472905,22.490211,3.1565838,211,False,-0.05791323784733629
WDR5B,226,0.253869530453154,-0.000904677570129634,ENSG00000196981,Gene Expression,31.0,False,7,0.010295498,0.010242861,99.13793103448276,8.359944,2.2364392,30,False,-0.08787117960547314
SPAG8,241,0.2541301390787173,-0.0005723633010336791,ENSG00000137098,Gene Expression,35.0,False,4,0.0052067814,0.005193273,99.50738916256158,4.2279067,1.654011,35,False,-0.10992650789860942
ZNF384,237,0.25414292147213224,-0.0011435948370843857,ENSG00000126746,Gene Expression,128.0,False,16,0.017410502,0.017260676,98.0295566502463,14.137328,2.7171638,127,False,-0.06568419725881158
HEBP2,245,0.2541789120484167,-0.0031797555460068017,ENSG00000051620,Gene Expression,515.0,False,55,0.06964339,0.06732532,93.22660098522168,56.550438,4.052662,469,False,-0.04565767694217912
STARD3NL,228,0.25429203918030174,-0.0034894992000708974,ENSG00000010270,Gene Expression,483.0,False,58,0.07368854,0.07109995,92.85714285714286,59.83509,4.1081667,462,False,-0.04735470872002503
LRRC8B,230,0.2543856918281189,-0.0010318531077666386,ENSG00000197147,Gene Expression,55.0,False,13,0.015241362,0.015126379,98.39901477832512,12.375986,2.593461,54,False,-0.06770084571890327
AC004943.2,217,0.2544186767279625,-0.0004888740153538391,ENSG00000259768,Gene Expression,23.0,False,5,0.0051209503,0.005107883,99.38423645320196,4.1582117,1.64059,23,False,-0.09546548748048886
CABIN1,241,0.2544684901028464,-0.0033782198602032854,ENSG00000099991,Gene Expression,401.0,False,52,0.071234845,0.06881204,93.59605911330048,57.842693,4.0748677,383,False,-0.04742369942669705
CYTH2,246,0.25459374774186827,-0.004386526470700675,ENSG00000105443,Gene Expression,668.0,False,87,0.10936827,0.10379073,89.28571428571429,88.80704,4.4976635,626,False,-0.04010785198890476
IFT52,247,0.254698847473219,-0.0032130146008464977,ENSG00000101052,Gene Expression,446.0,False,55,0.07095471,0.068550505,93.22660098522168,57.615227,4.0709944,424,False,-0.04528261182021969
BTD,248,0.25508885143685783,-0.005263741730542726,ENSG00000169814,Gene Expression,872.0,False,103,0.13367203,0.12546195,87.31527093596058,108.54169,4.6963053,783,False,-0.039378034272275035
PNPLA7,227,0.25514606900799586,-0.0012482393889858556,ENSG00000130653,Gene Expression,69.0,False,13,0.018558769,0.018388657,98.39901477832512,15.069719,2.7769368,68,False,-0.06725873999945191
CDC42,260,0.25514642893222683,-0.011182505891945027,ENSG00000070831,Gene Expression,2514.0,False,260,0.3912126,0.33017576,67.98029556650246,317.66464,5.764139,1937,False,-0.028584216197974646
AP000442.1,224,0.2551484156412959,-0.0010057362872951878,ENSG00000255139,Gene Expression,36.0,False,6,0.011617542,0.011550576,99.26108374384236,9.433444,2.3450165,36,False,-0.08657048678018349
AL606760.1,231,0.2551681184010375,-0.0004805240945685617,ENSG00000226754,Gene Expression,23.0,False,5,0.005025028,0.0050124447,99.38423645320196,4.0803227,1.6253748,23,False,-0.09562615672691428
HCFC1,246,0.25520680420361924,-0.0021084351709289573,ENSG00000172534,Gene Expression,334.0,False,33,0.041491415,0.04065374,95.93596059113301,33.69103,3.5464811,314,False,-0.050816178553093505
PADI4,201,0.25522012792423865,-0.00033743669894377567,ENSG00000159339,Gene Expression,56.0,False,2,0.0021683148,0.0021659674,99.75369458128078,1.7606716,1.015474,48,False,-0.15562163967297565
VDAC3,275,0.2552380226475602,-0.007327035573006124,ENSG00000078668,Gene Expression,1379.0,False,155,0.20125844,0.1833697,80.91133004926108,163.42184,5.102435,1163,False,-0.03640610413287429
INTS2,223,0.25526663587982523,-0.0004565580625774989,ENSG00000108506,Gene Expression,46.0,False,5,0.0050085266,0.0049960255,99.38423645320196,4.0669236,1.6227338,45,False,-0.0911561618694316
NEDD1,228,0.2554898388059744,-0.0006434737784509498,ENSG00000139350,Gene Expression,54.0,False,6,0.007796484,0.0077662487,99.26108374384236,6.330745,1.9920772,54,False,-0.08253384149578784
SPTLC2,252,0.25552904247066277,-0.0023602847870698024,ENSG00000100596,Gene Expression,241.0,False,37,0.047217943,0.04613707,95.44334975369459,38.34097,3.6722665,235,False,-0.049987031378137016
HDAC2,258,0.2555470776782819,-0.0040555937507962825,ENSG00000196591,Gene Expression,767.0,False,73,0.09362922,0.08950172,91.00985221674877,76.026924,4.344155,689,False,-0.04331547149270721
VEZF1,249,0.2556204674768343,-0.002274125051810169,ENSG00000136451,Gene Expression,252.0,False,35,0.047508907,0.046414874,95.6896551724138,38.577232,3.6782541,248,False,-0.047867341428140774
MTRES1,250,0.2557346290282215,-0.002347013488060601,ENSG00000130349,Gene Expression,333.0,False,39,0.047387894,0.046299346,95.19704433497537,38.47897,3.6757681,323,False,-0.04952770165361797
RXYLT1,251,0.2559809066757363,-0.0034064093742911944,ENSG00000118600,Gene Expression,530.0,False,54,0.07534375,0.07264038,93.34975369458128,61.179123,4.130019,492,False,-0.04521157170206496
REXO2,265,0.255995513100284,-0.01159036321605833,ENSG00000076043,Gene Expression,3088.0,False,286,0.4232112,0.3529157,64.77832512315271,343.6475,5.842522,2114,False,-0.02738671275401675
AC147651.4,233,0.2560021347723912,-0.0013444364195571712,ENSG00000237181,Gene Expression,110.0,False,18,0.022993,0.022732645,97.78325123152709,18.670317,2.9791107,108,False,-0.05847155249188617
RSAD1,251,0.2560273629956546,-0.004080271213695613,ENSG00000136444,Gene Expression,617.0,False,75,0.095657274,0.09135443,90.76354679802957,77.673706,4.365309,571,False,-0.04265510648231661
PPP4C,268,0.2560615482084249,-0.009735863845520054,ENSG00000149923,Gene Expression,2065.0,False,230,0.31266442,0.27205896,71.67487684729063,253.88351,5.540807,1678,False,-0.03113838109181191
MATN1-AS1,219,0.256064888496966,-0.0008055953222135571,ENSG00000186056,Gene Expression,49.0,False,9,0.0104111815,0.0103573585,98.89162561576354,8.453879,2.2464252,49,False,-0.0773778963711661
ARSD,236,0.2561002457018966,-0.0010613661914745075,ENSG00000006756,Gene Expression,70.0,False,10,0.014048917,0.013951146,98.76847290640394,11.407721,2.518319,66,False,-0.07554789987913557
MALT1,231,0.25610836992320957,-0.0014271202426531515,ENSG00000172175,Gene Expression,167.0,False,18,0.024399206,0.0241063,97.78325123152709,19.812155,3.0355372,166,False,-0.05849043776996704
GBA,250,0.25613645968011384,-0.005297206851770431,ENSG00000177628,Gene Expression,893.0,False,101,0.13100033,0.123102486,87.5615763546798,106.37227,4.676302,807,False,-0.04043659317932661
HNRNPK,276,0.25615572759809585,-0.010982980524410324,ENSG00000165119,Gene Expression,2857.0,False,281,0.4112861,0.3445014,65.39408866995073,333.9643,5.814024,2078,False,-0.02670399243356626
NAPA,266,0.2562347531149587,-0.009459484848392874,ENSG00000105402,Gene Expression,2004.0,False,230,0.31303495,0.27234122,71.67487684729063,254.18439,5.5419865,1616,False,-0.030218621906015018
OSBPL9,258,0.2562357327088592,-0.006052234766091208,ENSG00000117859,Gene Expression,924.0,False,125,0.16491915,0.15265168,84.60591133004927,133.91435,4.90464,841,False,-0.036698192182568416
SAT2,248,0.25650235902887497,-0.012409472792166587,ENSG00000141504,Gene Expression,3359.0,False,313,0.48882383,0.39798644,61.45320197044335,396.92496,5.9862633,2437,False,-0.025386390767229962
AC022706.1,228,0.2565070166721004,-0.0011526126029682698,ENSG00000267364,Gene Expression,83.0,False,13,0.017066818,0.016922817,98.39901477832512,13.858255,2.6985557,80,False,-0.06753529692282856
RTCA,245,0.2565100002961177,-0.005551607286585408,ENSG00000137996,Gene Expression,920.0,False,103,0.14131019,0.13217689,87.31527093596058,114.743866,4.7513795,819,False,-0.0392866747641947
LINC01226,214,0.25652099607818724,-0.00025718661039313053,ENSG00000284543,Gene Expression,27.0,False,2,0.0019248107,0.0019229606,99.75369458128078,1.5629463,0.9411575,26,False,-0.13361657363301838
LRWD1,252,0.2566826454178711,-0.006217563526666137,ENSG00000161036,Gene Expression,848.0,False,121,0.16281375,0.15084271,85.09852216748767,132.20477,4.8918877,752,False,-0.038188196121741916
DHX29,271,0.25671447476060305,-0.005344135308844977,ENSG00000067248,Gene Expression,996.0,False,110,0.13938266,0.1304866,86.45320197044335,113.17872,4.737765,901,False,-0.03834146438252935
ZNF622,237,0.25689069947743653,-0.00562927383518988,ENSG00000173545,Gene Expression,880.0,False,124,0.15530524,0.14436458,84.72906403940887,126.10785,4.845036,803,False,-0.036246516596773595
PTK2,241,0.2571149239742616,-0.0005188937114120494,ENSG00000169398,Gene Expression,37.0,False,4,0.0054188496,0.0054042204,99.50738916256158,4.400106,1.6864185,37,False,-0.09575717090650819
ICOSLG,232,0.25725738583938984,-0.00040918110990995505,ENSG00000160223,Gene Expression,29.0,False,4,0.004087133,0.004078803,99.50738916256158,3.3187518,1.4629664,29,False,-0.10011446243187139
CRYBB1,234,0.25731189803740884,-0.0011602075777991522,ENSG00000100122,Gene Expression,105.0,False,12,0.016395349,0.016262397,98.52216748768473,13.313024,2.6611698,101,False,-0.07076443288091637
UBE2Z,251,0.2573672563035383,-0.0028118554546663344,ENSG00000159202,Gene Expression,291.0,False,47,0.058672406,0.057015676,94.21182266009852,47.641994,3.8844872,278,False,-0.04792466607284436
CEP290,249,0.25744076748774725,-0.0031004825494606036,ENSG00000198707,Gene Expression,363.0,False,50,0.06493408,0.062912904,93.8423645320197,52.726475,3.9839058,331,False,-0.047748153792925185
DECR2,219,0.25747877738173747,-0.0008164733478170302,ENSG00000242612,Gene Expression,77.0,False,12,0.012553579,0.012475437,98.52216748768473,10.193506,2.4153337,77,False,-0.06503908857397482
PYM1,253,0.2576232078545069,-0.004999700201691354,ENSG00000170473,Gene Expression,725.0,False,95,0.124041565,0.11693073,88.30049261083744,100.72175,4.622241,665,False,-0.04030665213922819
TMCO3,255,0.2576396119308332,-0.0034474727900773716,ENSG00000150403,Gene Expression,456.0,False,58,0.078067385,0.07516998,92.85714285714286,63.390717,4.1649694,426,False,-0.04416021882993867
TMEM230,256,0.257672892459594,-0.012487273187330783,ENSG00000089063,Gene Expression,4155.0,False,361,0.5534817,0.44049868,55.54187192118227,449.42712,6.110196,2731,False,-0.02256131184036767
FAM120C,227,0.25767802652643257,-0.0014138934395312788,ENSG00000184083,Gene Expression,106.0,False,15,0.021671211,0.02143973,98.15270935960592,17.597023,2.9230015,104,False,-0.06524293528834314
C17orf107,239,0.2578018037326094,-0.0015769313967049642,ENSG00000205710,Gene Expression,143.0,False,21,0.026920248,0.026564272,97.41379310344827,21.859241,3.1293554,142,False,-0.05857789300727296
CCDC58,253,0.2578031544540872,-0.0020128547379136066,ENSG00000160124,Gene Expression,290.0,False,32,0.038972426,0.038232174,96.05911330049261,31.645609,3.4857104,280,False,-0.05164817625878913
NGDN,265,0.25785219388542757,-0.004825622839363081,ENSG00000129460,Gene Expression,841.0,False,93,0.11996118,0.11329402,88.54679802955665,97.40848,4.589127,788,False,-0.04022653701551419
RPA2,264,0.2579287585665395,-0.0043418847082797585,ENSG00000117748,Gene Expression,690.0,False,82,0.105250664,0.10007215,89.90147783251231,85.46354,4.459723,616,False,-0.041252801084433265
MYO19,236,0.2580115017933611,-0.001069510473053259,ENSG00000278259,Gene Expression,88.0,False,13,0.01686639,0.016725732,98.39901477832512,13.695508,2.687542,88,False,-0.06341075324858246
CENPL,253,0.2581376456840797,-0.0005762551882472714,ENSG00000120334,Gene Expression,29.0,False,4,0.005315238,0.005301162,99.50738916256158,4.3159733,1.670716,29,False,-0.10841568573381796
QSOX2,236,0.25847310080501684,-0.0005079766578592621,ENSG00000165661,Gene Expression,40.0,False,5,0.0057135387,0.0056972783,99.38423645320196,4.6393933,1.7297765,40,False,-0.08890753728166136
TMX3,240,0.2585417200046183,-0.002171970793930708,ENSG00000166479,Gene Expression,288.0,False,38,0.044495206,0.043533713,95.32019704433498,36.130108,3.6144283,273,False,-0.048813590794600584
CDR2,248,0.25862978039663576,-0.0020517540606864934,ENSG00000140743,Gene Expression,190.0,False,26,0.037644595,0.036953334,96.79802955665025,30.567411,3.4521253,183,False,-0.05450328435500083
RASA2,252,0.2586739568935531,-0.003808294679465113,ENSG00000155903,Gene Expression,471.0,False,66,0.08842942,0.08473576,91.87192118226602,71.80469,4.2877803,446,False,-0.043065923403881545
TERT,222,0.2588223403117348,-0.00037212789688916004,ENSG00000164362,Gene Expression,15.0,False,2,0.0028019028,0.0027979848,99.75369458128078,2.275145,1.1863621,15,False,-0.1328125635076083
NRROS,244,0.25889196846859575,-0.0031779114020840243,ENSG00000174004,Gene Expression,434.0,False,48,0.06539687,0.06334738,94.08866995073892,53.102257,3.990876,406,False,-0.048594244865490896
DGKD,249,0.2589585045867291,-0.0028034588336970923,ENSG00000077044,Gene Expression,491.0,False,46,0.062087297,0.06023612,94.33497536945814,50.414886,3.9399278,468,False,-0.045153500785333485
WFS1,251,0.25897164417226093,-0.005472419170445664,ENSG00000109501,Gene Expression,937.0,False,112,0.1464756,0.13669254,86.20689655172413,118.93819,4.7869763,859,False,-0.03736062004248412
AK2,252,0.25898928962681234,-0.006540871109953522,ENSG00000004455,Gene Expression,1184.0,False,139,0.18409073,0.16897517,82.88177339901478,149.48167,5.013841,1033,False,-0.03553069176593719
KIF3A,248,0.2590036279151319,-0.0022215911440568448,ENSG00000131437,Gene Expression,219.0,False,31,0.044216067,0.043266427,96.18226600985221,35.903446,3.608305,208,False,-0.05024397950659194
ASCC3,247,0.2590306415560047,-0.005334030975944898,ENSG00000112249,Gene Expression,652.0,False,99,0.13116683,0.123249695,87.807881773399,106.50746,4.6775603,598,False,-0.04066600488209978
GRIPAP1,251,0.2591103214386933,-0.0036143980007526805,ENSG00000068400,Gene Expression,428.0,False,65,0.08120165,0.07807306,91.99507389162561,65.93574,4.203733,408,False,-0.044511386058647455
GOLPH3,255,0.25920827240647837,-0.005659159055230262,ENSG00000113384,Gene Expression,986.0,False,115,0.15596522,0.14493568,85.83743842364532,126.64376,4.849243,880,False,-0.03628474933971858
DDX42,238,0.25921623176586983,-0.0024767010158630864,ENSG00000198231,Gene Expression,315.0,False,43,0.054764815,0.05331782,94.70443349753694,44.46903,3.8170314,305,False,-0.045224311094040535
TPM1,247,0.2593046260311212,-0.0035326951729890282,ENSG00000140416,Gene Expression,463.0,False,58,0.078404635,0.075482756,92.85714285714286,63.664566,4.1692133,399,False,-0.0450572235223687
